Notificationid,Age,Catagory,Color,Date,Discount,Gender,Iteam,Region,Time
0,39,ComputerAndMobile,Violet,24-02-2015,55,M,MacBook,city3,22:55:49
1,53,Fashion,DarkGreen,07-06-2015,25,F,Radowatch,city4,20:39:50
2,53,Fashion,Bisque,01-01-2015,25,F,RaybanGlasses,city4,18:52:44
3,41,ComputerAndMobile,SaddleBrown,28-04-2015,50,M,Dell,city3,21:13:25
4,45,Grossaries,MediumAquaMarine,21-07-2015,5,M,WheelSoap,city5,07:09:52
5,18,Fashion,FloralWhite,21-05-2015,25,F,Radowatch,city1,06:03:03
6,19,ComputerAndMobile,DarkSlateBlue,01-08-2015,65,M,IphoneXs,city2,22:40:52
7,34,Grossaries,Aqua,06-04-2015,5,F,GaramMasala,city5,07:35:45
8,43,ComputerAndMobile,Salmon,21-04-2015,50,M,MacBook,city3,23:38:34
9,31,ComputerAndMobile,Brown,25-01-2015,60,M,OnePlus6T,city3,17:49:49
10,35,ComputerAndMobile,Tomato,11-07-2015,55,M,IphoneXs,city3,18:26:54
11,32,ComputerAndMobile,Tomato,29-05-2015,50,M,Dell,city3,16:22:02
12,33,ComputerAndMobile,RoyalBlue,16-06-2015,50,M,MacBook,city3,21:19:35
13,38,ComputerAndMobile,Bisque,03-03-2015,50,M,OnePlus6T,city3,19:17:07
14,24,Fashion,DarkBlue,16-02-2015,25,F,RaybanGlasses,city1,02:50:30
15,24,Fashion,Peru,01-02-2015,25,F,Garniearcream,city1,01:06:17
16,23,Fashion,PowderBlue,15-05-2015,30,F,NikeShoes,city1,03:52:08
17,38,Grossaries,OliveDrab,20-03-2015,10,F,Turdal,city5,00:31:27
18,24,Fashion,Cyan,03-02-2015,30,F,RaybanGlasses,city1,00:48:38
19,53,Grossaries,LightSeaGreen,17-07-2015,15,F,GaramMasala,city5,05:48:45
20,23,ComputerAndMobile,PeachPuff,08-07-2015,50,M,MacBook,city2,15:35:44
21,28,ComputerAndMobile,Black,08-08-2015,60,M,OnePlus6T,city2,20:05:50
22,24,ComputerAndMobile,Olive,30-01-2015,50,M,IphoneXs,city2,08:50:29
23,34,ElectronicsAppliances,Silver,08-01-2015,40,M,MorphyToaster,city5,11:47:29
24,35,Grossaries,Wheat,11-01-2015,15,F,WheelSoap,city5,01:51:15
25,36,ComputerAndMobile,Teal,04-01-2015,55,M,OnePlus6T,city3,22:32:33
26,32,ElectronicsAppliances,Linen,28-01-2015,35,M,UshaIronBox,city5,12:53:51
27,28,ElectronicsAppliances,MediumSlateBlue,12-07-2015,40,M,MorphyToaster,city4,14:14:04
28,19,ComputerAndMobile,LemonChiffon,29-05-2015,65,M,MacBook,city2,17:55:17
29,27,Grossaries,DarkOrchid,07-01-2015,10,F,Turdal,city1,03:44:53
30,39,ComputerAndMobile,SeaGreen,03-04-2015,50,M,IphoneXs,city3,20:06:51
31,56,Fashion,SteelBlue,05-08-2015,30,F,Garniearcream,city4,23:50:35
32,32,ComputerAndMobile,DarkMagenta,13-02-2015,65,M,MacBook,city3,18:16:05
33,21,Fashion,DarkGoldenRod,03-01-2015,30,F,Radowatch,city1,03:29:05
34,22,ComputerAndMobile,DarkSeaGreen,12-06-2015,60,M,IphoneXs,city2,19:11:32
35,39,ElectronicsAppliances,Gainsboro,09-02-2015,40,M,MorphyToaster,city5,13:01:40
36,35,Grossaries,HotPink,31-01-2015,5,F,WheelSoap,city5,01:18:43
37,30,ComputerAndMobile,LightSeaGreen,12-08-2015,55,M,OnePlus6T,city2,20:24:19
38,57,Grossaries,HoneyDew,25-04-2015,15,F,Ketchup,city5,12:52:46
39,30,Grossaries,WhiteSmoke,25-05-2015,5,F,GaramMasala,city1,00:37:29
40,44,ElectronicsAppliances,GhostWhite,16-08-2015,40,M,LGTV,city5,12:56:45
41,36,ComputerAndMobile,DarkSlateBlue,19-03-2015,50,M,OnePlus6T,city3,23:56:21
42,19,Fashion,Chocolate,09-06-2015,30,F,RaybanGlasses,city1,00:32:53
43,40,ElectronicsAppliances,HoneyDew,19-02-2015,35,M,MorphyToaster,city5,12:31:25
44,35,ComputerAndMobile,Snow,25-07-2015,50,M,MacBook,city3,10:41:51
45,55,Fashion,BurlyWood,16-08-2015,25,F,Radowatch,city4,20:48:52
46,23,Fashion,Moccasin,24-01-2015,30,F,RaybanGlasses,city1,05:56:03
47,24,Fashion,BlueViolet,03-05-2015,25,F,Garniearcream,city1,08:12:33
48,37,Grossaries,MediumBlue,17-05-2015,15,F,WheelSoap,city5,04:21:24
49,23,ComputerAndMobile,GreenYellow,22-06-2015,50,M,OnePlus6T,city2,19:30:06
50,45,ComputerAndMobile,SandyBrown,12-05-2015,55,M,IphoneXs,city3,18:58:01
51,44,ComputerAndMobile,MediumVioletRed,13-02-2015,60,M,Dell,city3,10:28:34
52,32,ElectronicsAppliances,DarkBlue,08-01-2015,35,M,LGTV,city5,12:17:12
53,20,Fashion,SandyBrown,06-07-2015,25,F,Radowatch,city1,05:45:48
54,38,ComputerAndMobile,DarkOliveGreen,10-07-2015,55,M,IphoneXs,city3,08:29:46
55,48,ComputerAndMobile,GreenYellow,09-02-2015,60,M,Dell,city3,11:04:46
56,25,Fashion,DarkSalmon,16-01-2015,25,F,NikeShoes,city1,06:15:54
57,25,ElectronicsAppliances,DarkSeaGreen,04-07-2015,40,M,SamsungRefigerator,city4,14:10:15
58,31,Grossaries,DeepPink,14-05-2015,10,F,Ketchup,city5,04:54:06
59,30,Grossaries,Olive,01-02-2015,5,F,GaramMasala,city1,05:59:23
60,28,Grossaries,SkyBlue,18-01-2015,5,F,WheelSoap,city1,02:51:59
61,46,ComputerAndMobile,Magenta,20-02-2015,65,M,OnePlus6T,city3,18:29:06
62,41,ElectronicsAppliances,DarkTurquoise,18-04-2015,35,M,UshaIronBox,city5,14:33:58
63,35,ComputerAndMobile,Silver,05-01-2015,65,M,Dell,city3,21:07:24
64,36,ComputerAndMobile,SpringGreen,07-01-2015,50,M,MacBook,city3,17:45:16
65,20,ComputerAndMobile,OliveDrab,28-06-2015,55,M,OnePlus6T,city2,16:32:30
66,31,ElectronicsAppliances,Aqua,30-04-2015,35,M,UshaIronBox,city5,12:38:53
67,29,ComputerAndMobile,OrangeRed,02-06-2015,65,M,Dell,city2,17:33:46
68,26,Grossaries,LimeGreen,13-04-2015,15,F,WheelSoap,city1,05:58:38
69,22,ComputerAndMobile,SkyBlue,15-03-2015,50,M,OnePlus6T,city2,08:44:50
70,24,ComputerAndMobile,LightGreen,22-07-2015,60,M,IphoneXs,city2,17:08:40
71,43,ComputerAndMobile,SandyBrown,26-04-2015,55,M,Dell,city3,18:42:15
72,25,Fashion,Teal,29-05-2015,30,F,NikeShoes,city1,02:42:02
73,22,Fashion,LightYellow,29-07-2015,25,F,Radowatch,city1,00:27:44
74,19,ComputerAndMobile,MintCream,16-07-2015,50,M,IphoneXs,city2,08:48:35
75,32,ComputerAndMobile,DimGray,22-07-2015,65,M,Dell,city3,10:58:12
76,25,ComputerAndMobile,Indigo,29-04-2015,55,M,MacBook,city2,10:01:35
77,30,Grossaries,LightSalmon,07-01-2015,15,F,Turdal,city1,08:15:53
78,19,ComputerAndMobile,GreenYellow,04-02-2015,65,M,IphoneXs,city2,19:55:13
79,32,ComputerAndMobile,DeepSkyBlue,03-07-2015,55,M,Dell,city3,08:29:04
80,35,ComputerAndMobile,DarkGreen,08-02-2015,65,M,MacBook,city3,17:21:14
81,24,Fashion,LimeGreen,10-05-2015,25,F,Radowatch,city1,07:26:20
82,33,ComputerAndMobile,DarkGoldenRod,05-07-2015,60,M,IphoneXs,city3,10:31:29
83,43,ComputerAndMobile,Turquoise,10-01-2015,65,M,Dell,city3,23:23:25
84,45,ComputerAndMobile,LightGreen,27-03-2015,50,M,MacBook,city3,18:16:18
85,23,Fashion,LightSteelBlue,06-07-2015,30,F,Radowatch,city1,01:46:15
86,20,Fashion,Cornsilk,22-07-2015,25,F,RaybanGlasses,city1,03:22:15
87,44,Grossaries,LemonChiffon,12-01-2015,5,F,GaramMasala,city5,07:55:07
88,39,ComputerAndMobile,DarkKhaki,28-06-2015,60,M,MacBook,city3,21:49:06
89,45,ElectronicsAppliances,FireBrick,30-01-2015,40,M,SamsungRefigerator,city5,11:43:14
90,47,ComputerAndMobile,LightSeaGreen,02-01-2015,65,M,IphoneXs,city3,16:49:52
91,23,Fashion,SlateGray,24-04-2015,30,F,Garniearcream,city1,05:19:29
92,19,Fashion,Crimson,24-07-2015,30,F,NikeShoes,city1,03:39:03
93,26,Grossaries,MidnightBlue,17-04-2015,5,F,Turdal,city1,07:26:15
94,39,Grossaries,DarkGoldenRod,13-05-2015,10,F,Ketchup,city5,02:48:43
95,36,ComputerAndMobile,DarkCyan,06-04-2015,50,M,Dell,city3,23:14:54
96,20,ElectronicsAppliances,SteelBlue,11-06-2015,35,M,LGTV,city4,12:40:52
97,24,ComputerAndMobile,OldLace,24-05-2015,50,M,OnePlus6T,city2,21:16:35
98,24,Fashion,MediumBlue,18-03-2015,25,F,RaybanGlasses,city1,03:36:41
99,35,Grossaries,Gray,04-07-2015,15,F,GaramMasala,city5,00:59:46
100,19,ComputerAndMobile,LightPink,02-06-2015,50,M,MacBook,city2,22:31:55
101,34,ComputerAndMobile,BlanchedAlmond,30-05-2015,60,M,OnePlus6T,city3,16:06:31
102,23,Fashion,Wheat,16-02-2015,30,F,RaybanGlasses,city1,03:40:02
103,60,ElectronicsAppliances,Aqua,24-03-2015,40,F,MorphyToaster,city5,09:08:01
104,46,ComputerAndMobile,BlueViolet,17-04-2015,55,M,MacBook,city3,18:52:04
105,24,Fashion,CadetBlue,07-02-2015,25,F,Radowatch,city1,07:27:00
106,36,ComputerAndMobile,PaleTurquoise,03-07-2015,50,M,IphoneXs,city3,09:31:29
107,27,Grossaries,DimGray,09-05-2015,10,F,GaramMasala,city1,07:29:41
108,37,ComputerAndMobile,Moccasin,03-05-2015,55,M,MacBook,city3,22:40:07
109,31,Grossaries,Chartreuse,24-05-2015,15,F,Turdal,city5,04:19:36
110,27,Grossaries,Khaki,25-03-2015,15,F,Ketchup,city1,05:08:36
111,22,ComputerAndMobile,MediumSpringGreen,06-01-2015,60,M,Dell,city2,21:48:13
112,34,ComputerAndMobile,LemonChiffon,09-03-2015,50,M,MacBook,city3,19:43:25
113,21,ComputerAndMobile,PeachPuff,24-01-2015,50,M,OnePlus6T,city2,10:49:49
114,26,ComputerAndMobile,Lime,24-07-2015,65,M,IphoneXs,city2,22:15:08
115,32,Grossaries,Tomato,23-02-2015,15,F,GaramMasala,city5,06:07:21
116,31,ComputerAndMobile,SlateBlue,23-07-2015,55,M,MacBook,city3,20:14:14
117,29,ComputerAndMobile,Orange,20-06-2015,55,M,OnePlus6T,city2,15:14:00
118,39,ComputerAndMobile,Fuchsia,29-05-2015,50,M,IphoneXs,city3,11:37:08
119,26,ComputerAndMobile,GoldenRod,15-06-2015,65,M,Dell,city2,11:19:56
120,41,ElectronicsAppliances,GreenYellow,08-07-2015,35,M,LGTV,city5,13:13:54
121,22,ComputerAndMobile,ForestGreen,11-07-2015,50,M,OnePlus6T,city2,09:45:26
122,38,Grossaries,Moccasin,22-03-2015,15,F,Ketchup,city5,05:17:02
123,28,Grossaries,Indigo,11-02-2015,5,F,GaramMasala,city1,03:35:58
124,33,ElectronicsAppliances,SlateBlue,21-05-2015,35,M,LGTV,city5,12:34:52
125,56,ElectronicsAppliances,Cyan,20-05-2015,40,F,SamsungRefigerator,city5,08:42:48
126,39,ComputerAndMobile,MintCream,09-07-2015,60,M,IphoneXs,city3,11:11:35
127,19,Fashion,Lime,07-07-2015,25,F,Garniearcream,city1,03:33:01
128,39,ElectronicsAppliances,Moccasin,18-04-2015,40,M,LGTV,city5,12:26:02
129,31,ComputerAndMobile,Green,11-07-2015,50,M,OnePlus6T,city3,22:10:28
130,36,ComputerAndMobile,LightSkyBlue,22-07-2015,55,M,IphoneXs,city3,15:54:25
131,35,ComputerAndMobile,BlueViolet,13-08-2015,55,M,Dell,city3,17:21:02
132,41,ElectronicsAppliances,Azure,26-03-2015,40,M,LGTV,city5,12:11:48
133,31,Grossaries,LightGray,30-07-2015,15,F,Turdal,city5,00:25:42
134,33,Grossaries,DarkCyan,05-01-2015,5,F,Ketchup,city5,00:09:57
135,23,Fashion,GreenYellow,07-04-2015,30,F,Garniearcream,city1,01:03:13
136,41,ComputerAndMobile,Crimson,13-08-2015,65,M,MacBook,city3,22:48:43
137,52,Fashion,MediumOrchid,30-01-2015,25,F,Radowatch,city4,18:49:32
138,42,ComputerAndMobile,Sienna,20-01-2015,60,M,IphoneXs,city3,19:23:59
139,25,ElectronicsAppliances,Aquamarine,21-06-2015,40,M,MorphyToaster,city4,11:41:49
140,35,ComputerAndMobile,FloralWhite,16-02-2015,65,M,MacBook,city3,11:10:36
141,27,ComputerAndMobile,SlateBlue,10-01-2015,65,M,OnePlus6T,city2,17:13:50
142,33,ComputerAndMobile,Sienna,19-04-2015,60,M,IphoneXs,city3,17:29:41
143,35,Grossaries,LimeGreen,19-03-2015,5,F,GaramMasala,city5,02:18:38
144,49,ComputerAndMobile,Teal,21-05-2015,60,M,MacBook,city3,17:58:06
145,33,Grossaries,WhiteSmoke,07-07-2015,15,F,Turdal,city5,04:37:35
146,28,Grossaries,Purple,08-01-2015,10,F,Ketchup,city1,05:42:01
147,20,ElectronicsAppliances,SlateGray,01-03-2015,35,M,MorphyToaster,city4,12:29:40
148,18,ElectronicsAppliances,LightPink,21-07-2015,35,M,LGTV,city4,12:58:57
149,28,ComputerAndMobile,LimeGreen,22-02-2015,50,M,OnePlus6T,city2,22:59:34
150,33,ComputerAndMobile,DarkSlateBlue,23-03-2015,65,M,IphoneXs,city3,22:59:35
151,33,ComputerAndMobile,DimGray,01-07-2015,60,M,Dell,city3,11:06:00
152,45,ComputerAndMobile,CornflowerBlue,18-07-2015,55,M,MacBook,city3,16:09:00
153,23,ComputerAndMobile,DarkSlateGray,20-01-2015,55,M,OnePlus6T,city2,09:09:32
154,23,Fashion,MidnightBlue,23-03-2015,25,F,RaybanGlasses,city1,03:00:18
155,18,ComputerAndMobile,LightSkyBlue,11-06-2015,50,M,Dell,city2,19:31:43
156,36,ComputerAndMobile,MediumBlue,09-04-2015,65,M,MacBook,city3,16:16:33
157,33,Grossaries,Wheat,06-08-2015,5,F,Turdal,city5,04:20:12
158,36,ComputerAndMobile,SpringGreen,05-08-2015,55,M,IphoneXs,city3,23:38:51
159,25,Fashion,DarkRed,07-04-2015,25,F,Garniearcream,city1,07:36:19
160,34,ComputerAndMobile,Orange,06-01-2015,65,M,MacBook,city3,08:56:42
161,34,Grossaries,LightGray,17-08-2015,15,F,Turdal,city5,03:30:12
162,29,Grossaries,DarkViolet,10-06-2015,10,F,Ketchup,city1,04:22:41
163,23,ComputerAndMobile,LimeGreen,12-05-2015,50,M,Dell,city2,21:55:14
164,31,ComputerAndMobile,CadetBlue,28-07-2015,50,M,MacBook,city3,21:06:40
165,19,ElectronicsAppliances,DarkMagenta,16-05-2015,35,M,SamsungRefigerator,city4,12:43:31
166,44,ComputerAndMobile,ForestGreen,21-07-2015,60,M,IphoneXs,city3,20:25:23
167,40,ElectronicsAppliances,LightSkyBlue,02-04-2015,40,M,MorphyToaster,city5,11:41:48
168,20,ComputerAndMobile,MediumAquaMarine,31-05-2015,55,M,MacBook,city2,18:33:44
169,30,ComputerAndMobile,Salmon,04-08-2015,50,M,OnePlus6T,city2,16:59:50
170,39,Grossaries,LavenderBlush,15-05-2015,15,F,Ketchup,city5,05:45:18
171,33,ComputerAndMobile,Green,26-01-2015,55,M,Dell,city3,18:45:26
172,18,Fashion,SpringGreen,05-03-2015,25,F,NikeShoes,city1,05:59:50
173,34,ComputerAndMobile,Navy,15-05-2015,50,M,OnePlus6T,city3,11:23:47
174,40,Grossaries,OliveDrab,27-05-2015,5,F,Ketchup,city5,06:12:10
175,30,ElectronicsAppliances,LightSalmon,07-01-2015,40,M,MorphyToaster,city4,11:51:20
176,50,Grossaries,RosyBrown,31-01-2015,15,F,WheelSoap,city5,12:35:18
177,25,Fashion,DeepPink,16-02-2015,30,F,Radowatch,city1,00:47:32
178,36,Grossaries,Pink,25-04-2015,15,F,Ketchup,city5,01:26:17
179,41,Grossaries,LightGreen,19-05-2015,15,F,GaramMasala,city5,01:33:35
180,40,ComputerAndMobile,GreenYellow,25-07-2015,50,M,MacBook,city3,21:44:24
181,25,Fashion,Sienna,14-06-2015,25,F,Radowatch,city1,04:04:33
182,32,ElectronicsAppliances,DarkKhaki,25-05-2015,40,M,UshaIronBox,city5,13:36:51
183,44,Grossaries,LightGray,11-08-2015,10,F,GaramMasala,city5,06:38:46
184,29,ComputerAndMobile,DarkRed,10-03-2015,50,M,MacBook,city2,20:12:14
185,33,ComputerAndMobile,Aqua,24-04-2015,50,M,OnePlus6T,city3,18:24:23
186,22,ElectronicsAppliances,Red,17-06-2015,40,M,UshaIronBox,city4,14:27:32
187,28,Grossaries,Lavender,27-05-2015,10,F,GaramMasala,city1,06:08:36
188,33,Grossaries,DeepPink,20-06-2015,5,F,WheelSoap,city5,06:20:05
189,32,ComputerAndMobile,White,16-01-2015,50,M,OnePlus6T,city3,15:22:39
190,39,ComputerAndMobile,MediumSeaGreen,08-01-2015,65,M,IphoneXs,city3,09:32:59
191,29,ComputerAndMobile,MediumPurple,05-06-2015,55,M,Dell,city2,22:59:23
192,29,ComputerAndMobile,LightGreen,02-01-2015,65,M,MacBook,city2,22:58:06
193,28,ElectronicsAppliances,Tan,07-01-2015,40,M,SamsungRefigerator,city4,14:00:20
194,52,Fashion,LawnGreen,08-03-2015,30,F,RaybanGlasses,city4,16:45:35
195,56,Fashion,LightSkyBlue,06-03-2015,25,F,Garniearcream,city4,15:37:39
196,36,Grossaries,BurlyWood,15-07-2015,5,F,WheelSoap,city5,00:21:41
197,47,Grossaries,Peru,12-08-2015,15,F,Turdal,city5,01:09:32
198,30,Grossaries,Thistle,22-04-2015,10,F,Ketchup,city1,01:23:03
199,26,Grossaries,DarkMagenta,24-01-2015,10,F,GaramMasala,city1,03:12:18
200,22,ComputerAndMobile,LemonChiffon,29-05-2015,55,M,MacBook,city2,09:54:34
201,49,Grossaries,MediumVioletRed,15-02-2015,15,F,Turdal,city5,00:34:07
202,25,ElectronicsAppliances,Teal,14-05-2015,35,M,UshaIronBox,city4,14:36:51
203,25,Fashion,SlateGray,13-07-2015,25,F,Garniearcream,city1,02:13:42
204,26,ComputerAndMobile,Turquoise,20-02-2015,65,M,MacBook,city2,21:02:08
205,21,ComputerAndMobile,Gainsboro,14-02-2015,65,M,OnePlus6T,city2,23:24:11
206,32,ComputerAndMobile,Orchid,08-03-2015,65,M,IphoneXs,city3,15:11:25
207,38,Grossaries,Yellow,04-01-2015,5,F,GaramMasala,city5,04:20:27
208,26,ComputerAndMobile,AntiqueWhite,03-07-2015,55,M,MacBook,city2,15:06:47
209,36,ComputerAndMobile,AliceBlue,30-06-2015,65,M,OnePlus6T,city3,23:28:44
210,41,Grossaries,Tomato,14-02-2015,5,F,Ketchup,city5,05:26:36
211,33,ComputerAndMobile,PapayaWhip,18-03-2015,55,M,Dell,city3,09:06:38
212,27,ComputerAndMobile,MediumSeaGreen,10-02-2015,60,M,MacBook,city2,08:24:26
213,30,ElectronicsAppliances,BlueViolet,22-05-2015,40,M,SamsungRefigerator,city4,14:34:36
214,20,ComputerAndMobile,Tomato,15-03-2015,55,M,IphoneXs,city2,18:52:26
215,31,ComputerAndMobile,DarkSlateGray,08-03-2015,65,M,Dell,city3,20:46:46
216,37,ElectronicsAppliances,Gold,22-02-2015,35,M,LGTV,city5,14:45:47
217,45,Grossaries,Moccasin,08-05-2015,5,M,Turdal,city5,04:35:13
218,36,Grossaries,MediumSeaGreen,29-04-2015,15,F,Ketchup,city5,04:11:31
219,29,ComputerAndMobile,LightGreen,08-01-2015,50,M,Dell,city2,23:28:13
220,36,Grossaries,Orange,03-04-2015,15,F,WheelSoap,city5,04:20:00
221,38,ComputerAndMobile,Cyan,08-03-2015,50,M,OnePlus6T,city3,09:11:01
222,27,Grossaries,SlateBlue,11-01-2015,5,F,Ketchup,city1,05:15:18
223,35,ComputerAndMobile,BlanchedAlmond,26-05-2015,65,M,Dell,city3,18:02:46
224,28,Grossaries,LavenderBlush,01-01-2015,5,F,WheelSoap,city1,08:01:19
225,48,ComputerAndMobile,Navy,26-02-2015,55,M,OnePlus6T,city3,23:51:07
226,43,ComputerAndMobile,MediumBlue,18-02-2015,60,M,IphoneXs,city3,23:18:21
227,22,Fashion,Moccasin,24-07-2015,30,F,Garniearcream,city1,05:21:07
228,33,ComputerAndMobile,CadetBlue,27-07-2015,60,M,MacBook,city3,21:03:50
229,26,Grossaries,MediumTurquoise,04-06-2015,10,F,Turdal,city1,05:52:50
230,32,ComputerAndMobile,DarkGreen,01-05-2015,60,M,IphoneXs,city3,09:55:14
231,36,Grossaries,RoyalBlue,04-07-2015,15,F,GaramMasala,city5,08:08:08
232,32,ComputerAndMobile,DarkGoldenRod,06-03-2015,55,M,MacBook,city3,20:55:13
233,26,ComputerAndMobile,Thistle,24-03-2015,55,M,OnePlus6T,city2,19:50:08
234,37,Grossaries,White,25-06-2015,15,F,Ketchup,city5,05:44:03
235,26,Grossaries,MediumSpringGreen,04-01-2015,10,F,GaramMasala,city1,02:15:07
236,25,ComputerAndMobile,WhiteSmoke,19-01-2015,50,M,MacBook,city2,15:26:38
237,35,ComputerAndMobile,BurlyWood,25-01-2015,60,M,OnePlus6T,city3,09:30:03
238,23,ComputerAndMobile,YellowGreen,15-03-2015,60,M,IphoneXs,city2,11:37:40
239,38,ComputerAndMobile,White,23-07-2015,60,M,Dell,city3,20:17:28
240,41,Grossaries,Cyan,26-04-2015,10,F,WheelSoap,city5,00:27:06
241,58,Fashion,SlateBlue,03-03-2015,30,F,Radowatch,city4,16:39:36
242,44,Grossaries,LightSkyBlue,02-02-2015,5,F,Ketchup,city5,01:26:25
243,29,ComputerAndMobile,DarkTurquoise,27-07-2015,60,M,Dell,city2,16:14:29
244,31,Grossaries,Gainsboro,21-01-2015,10,F,WheelSoap,city5,04:25:04
245,18,ComputerAndMobile,LightCyan,03-01-2015,50,M,OnePlus6T,city2,23:34:46
246,30,Grossaries,LightCoral,02-04-2015,5,F,Ketchup,city1,00:16:55
247,35,ComputerAndMobile,Turquoise,11-04-2015,55,M,Dell,city3,17:24:58
248,41,ComputerAndMobile,DarkOliveGreen,24-04-2015,55,M,MacBook,city3,17:40:05
249,18,ElectronicsAppliances,Teal,01-06-2015,40,M,SamsungRefigerator,city4,12:36:19
